"SKU FA","FA","SKU ACOES","ACAO","PRODUTO DA ACAO","VALOR DESTINADO","ANO"
1,"DEFESA","2055","Cursos de Altos Estudos da Escola Superior de Guerra","Aluno capacitado 839",1e+07,2023
1,"DEFESA","20T4","Atividades do Centro de Apoio a Sistemas Logísticos de Defesa","Sistema aprimorado 1",2677965,2023
1,"DEFESA","20X1","Participação Brasileira em Missões de Paz e em desminagem humanitária","Missão de paz realizada 52",1.8e+07,2023
1,"DEFESA","20X3","Mobilização e Logística para a Defesa Nacional","Ação implementada 1",8205868,2023
1,"DEFESA","20X5","Operações de Comando e Controle da Defesa Nacional","Ação implementada 3",34500000,2023
1,"DEFESA","20X6","Adequação e Manutenção de Unidades Militares para a Soberania e Integridade Nacional na Região do Calha Norte","Iniciativa apoiada 90",29021747,2023
1,"DEFESA","20X7","Emprego Conjunto ou Combinado das Forças Armadas","Operação realizada 18",95546237,2023
1,"DEFESA","218X","Operações de Garantia da Lei e da Ordem","Operação realizada 3",1e+06,2023
1,"DEFESA","219W","Integração dos Sistemas de Comunicações de Defesa","Atividade realizada 7",2.3e+07,2023
1,"DEFESA","21BI","Difusão do Conhecimento sobre Defesa Nacional à Sociedade Brasileira e Interação do Ensino Militar","Atividade desenvolvida 26",1491400,2023
1,"DEFESA","21BK","Manutenção das estruturas do Programa Estratégico de Sistemas Espaciais","Infraestrutura mantida 1",13253933,2023
1,"DEFESA","21E6","Cursos da Escola Superior de Defesa","Aluno capacitado 425",2744000,2023
1,"DEFESA","21E7","Manutenção da Capacidade Operativa dos Meios Aéreos das Forças Armadas","Manutenção/suprimento realizado 1",76500000,2023
1,"DEFESA","2452","Adequação da Infraestrutura dos Pelotões Especiais de Fronteira da Região do Calha Norte","Pelotão adequado 20",6500000,2023
1,"DEFESA","2866","Ações de Caráter Sigiloso","Ações de Caráter Sigiloso",2435759,2023
1,"DEFESA","2B28","Apoio ao desenvolvimento de tecnologias de interesse da Defesa Nacional","Projeto apoiado 7",1e+06,2023
1,"DEFESA","2D55","Implementação de Política, Estratégia e Assuntos Internacionais na Área de Defesa","Atividade realizada 1",11185938,2023
1,"DEFESA","123J","Aquisição de Helicópteros para Emprego das Forças Armadas","Helicóptero adquirido 2",236256001,2023
1,"DEFESA","147F","Implantação de Sistema de Defesa Cibernética para a Defesa Nacional","Sistema implantado 1",74958014,2023
1,"DEFESA","151S","Implantação da Infraestrutura para o Programa Estratégico de Sistemas Espaciais (PESE)","Infraestrutura implantada 1",3908071,2023
1,"DEFESA","15LR","Implantação da Geoinformação de Defesa - GEODEF","Portal implantado 9",1888400,2023
1,"DEFESA","15W4","Aquisição de Helicópteros Leves (Projeto TH-X)","Helicóptero adquirido 1",27863526,2023
2,"EXERCITO","2000","Administração da Unidade","Administração da Unidade",455700000,2023
2,"EXERCITO","20TP","Ativos Civis da União","Ativos Civis da União",432174010,2023
2,"EXERCITO","20XM","Prestação de Ensino Assistencial nos Colégios Militares","Aluno capacitado 15580",15900000,2023
2,"EXERCITO","212B","Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes","Benefícios Obrigatórios Nacional e Exterior",1732137037,2023
2,"EXERCITO","214H","Inativos Militares das Forças Armadas","Inativos Militares",14276044963,2023
2,"EXERCITO","216H","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","Agente público beneficiado 300",5.8e+07,2023
2,"EXERCITO","2865","Suprimento de Fardamento","Militar atendido 169693",215018030,2023
2,"EXERCITO","2867","Ativos Militares das Forças Armadas","Ativos Militares Nacional e Exterior",16868436323,2023
2,"EXERCITO","4641","Publicidade de Utilidade Pública","Publicidade de Utilidade Pública",4500000,2023
2,"EXERCITO","179","Pensões Militares das Forças Armadas","Pensões Militares das Forças Armadas",14200144796,2023
2,"EXERCITO","181","Aposentadorias e Pensões Civis da União","Aposentadorias e Pensões Civis da União",1181468457,2023
2,"EXERCITO","9HB","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","Contribuição",81740178,2023
2,"EXERCITO","00S6","Benefício Especial e Demais Complementações de Aposentadorias","Benefícios e Demais",13000,2023
2,"EXERCITO","536","Benefícios e Pensões Indenizatórias Decorrentes de Legislação Especial e/ou Decisões Judiciais","Benefícios e Pensões",404246,2023
2,"EXERCITO","739","Indenização a Anistiados Políticos em Prestação Única ou em Prestação Mensal, Permanente e Continuada, nos termos da Lei nº 10.559, de 2002","Indenização",58969537,2023
2,"EXERCITO","0C01","Valores Retroativos a Anistiados Políticos nos termos da Lei nº 11.354, de 19/10/2006","Valores",1757028,2023
2,"EXERCITO","0Z00","Reserva de Contingência - Financeira","Reserva",40060000,2023
2,"EXERCITO","20XE","Manutenção e Modernização de Sistemas de Comando e Controle do Exército","Sistema mantido 13",96380525,2023
2,"EXERCITO","20XH","Realização de Ações de Cooperação do Exército","Cooperação realizada 2",5500000,2023
2,"EXERCITO","20XJ","Desenvolvimento Tecnológico do Exército","Projeto de pesquisa e desenvolvimento apoiado 5",21476000,2023
2,"EXERCITO","212O","Movimentação de Militares","Militar atendido 13433",595589127,2023
2,"EXERCITO","219D","Adequação de Ativos de Infraestrutura das Organizações Militares","Organização militar adequada 170",9.8e+07,2023
2,"EXERCITO","21A0","Aprestamento das Forças - Manutenção da prontidão e da capacidade operativa","Organização militar aprestada 490",568150503,2023
2,"EXERCITO","21D1","Gerenciamento, Melhoria, Modernização e Recuperação de Sistemas de Artilharia Antiaérea","Equipamento modernizado 20",4534222,2023
2,"EXERCITO","21D3","Modernização e Adequação do Sistema de Aviação do Exército","Meio militar disponibilizado 1",5e+05,2023
2,"EXERCITO","2866","Ações de Caráter Sigiloso","Ações de Caráter Sigiloso",5500000,2023
2,"EXERCITO","2900","Seleção para o Serviço Militar e Apresentação da Reserva em Disponibilidade","Atendimento realizado 3500000",6500000,2023
2,"EXERCITO","2A82","Prestação de Ensino de Graduação e Pós-Graduação no Instituto Militar de Engenharia","Aluno capacitado 1619",10629610,2023
2,"EXERCITO","8965","Capacitação Profissional Militar do Exército Brasileiro","Aluno capacitado 20976",7.1e+07,2023
2,"EXERCITO","13DB","Aquisição de Sistemas de Artilharia Antiaérea","Equipamento obtido 5",18617778,2023
2,"EXERCITO","147F","Implantação de Sistema de Defesa Cibernética para a Defesa Nacional","Sistema implantado % de execução física 4",15801000,2023
2,"EXERCITO","14LW","Implantação do Sistema de Defesa Estratégico ASTROS","Sistema implantado % de execução física 4",87812866,2023
2,"EXERCITO","14T4","Implantação do Projeto Forças Blindadas","Blindado adquirido 92",876221000,2023
2,"EXERCITO","14T5","Implantação do Sistema Integrado de Monitoramento de Fronteiras - SISFRON","Sistema implantado % de execução física 3",353699000,2023
2,"EXERCITO","156M","Modernização e Transformação Estratégica e Operacional do Exército Brasileiro","Organização militar instalada/adequada 30",178239000,2023
2,"EXERCITO","15W6","Implantação do Programa Estratégico do Exército LUCERNA (Prg EE LUCERNA)","Sistema modernizado % de execução 8",1.5e+07,2023
2,"EXERCITO","3138","Implantação do Sistema de Aviação do Exército","Sistema de aviação implantado % execução física 1",24800000,2023
2,"EXERCITO","7XN4","Implantação do Colégio Militar de São Paulo (CMSP)","Escola implantada % execução física 40",1.47e+08,2023
2,"EXERCITO","7XT4","Ampliação e Adequação do Hospital Geral de Salvador (HGeS)","Hospital ampliado 1",1e+07,2023
3,"AERONAUTICA","2000","Administração da Unidade","Administração da Unidade",64636206,2023
3,"AERONAUTICA","2004","Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes","Assistência Médica e Odontológica",175810776,2023
3,"AERONAUTICA","20TP","Ativos Civis da União","Ativos Nacional e Exterior",474243937,2023
3,"AERONAUTICA","212B","Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes","Benefícios Nacional e Exterior",661268925,2023
3,"AERONAUTICA","214H","Inativos Militares das Forças Armadas","Inativos",7658892514,2023
3,"AERONAUTICA","2865","Suprimento de Fardamento","Militar atendido 40381",33495000,2023
3,"AERONAUTICA","2867","Ativos Militares das Forças Armadas","Ativos Nacional e Exterior",7048834678,2023
3,"AERONAUTICA","179","Pensões Militares das Forças Armadas","Pensões",4769695042,2023
3,"AERONAUTICA","181","Aposentadorias e Pensões Civis da União","Aposentadorias e Pensões",1137169241,2023
3,"AERONAUTICA","09HB","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","Contribuição",92055846,2023
3,"AERONAUTICA","00QG","Anistiados Políticos - Retroativos Concedidos por Decisões Judiciais","Anistiados",1e+06,2023
3,"AERONAUTICA","284","Amortização e Encargos de Financiamento da Dívida Contratual Externa","Amortização",1446852290,2023
3,"AERONAUTICA","00S6","Benefício Especial e Demais Complementações de Aposentadorias","Benefícios",13000,2023
3,"AERONAUTICA","536","Benefícios e Pensões Indenizatórias Decorrentes de Legislação Especial e/ou Decisões Judiciais","Benefícios e Pensões",954143,2023
3,"AERONAUTICA","739","Indenização a Anistiados Políticos em Prestação Única ou em Prestação Mensal, Permanente e Continuada, nos termos da Lei nº 10.559, de 2002","Indenização",359175310,2023
3,"AERONAUTICA","0C01","Valores Retroativos a Anistiados Políticos nos termos da Lei nº 11.354, de 19/10/2006","Valores",444600,2023
3,"AERONAUTICA","20IH","Modernização e Revitalização de Aeronaves e Sistemas Embarcados","Aeronave modernizada/revitalizada 6",23398864,2023
3,"AERONAUTICA","20T4","Atividades do Centro de Apoio a Sistemas Logísticos de Defesa","Sistema aprimorado 1",424986,2023
3,"AERONAUTICA","20X8","Prestação de Ensino de Graduação e Pós-Graduação do Instituto Tecnológico de Aeronáutica - ITA","Aluno capacitado 1510",4875761,2023
3,"AERONAUTICA","20X9","Capacitação Profissional da Aeronáutica","Aluno capacitado 15000",31327209,2023
3,"AERONAUTICA","212O","Movimentação de Militares","Militar atendido 9740",172482900,2023
3,"AERONAUTICA","217W","Operação de Sistemas Espaciais de Observação da Terra","Imagem de satélite disponibilizada (km²): 605.241",1800000,2023
3,"AERONAUTICA","219D","Adequação de Ativos de Infraestrutura das Organizações Militares","Organização militar adequada 7",4.5e+07,2023
3,"AERONAUTICA","2866","Ações de Caráter Sigiloso","Ações de Caráter Sigiloso",2203148,2023
3,"AERONAUTICA","123B","Desenvolvimento de Cargueiro Tático Militar de 10 a 20 Toneladas (Projeto KC-X)","Aeronave desenvolvida % execução física 1",178700000,2023
3,"AERONAUTICA","14T0","Aquisição de Aeronaves de Caça e Sistemas Afins - Projeto FX-2","Aeronave adquirida % de execução física 5",1375235233,2023
3,"AERONAUTICA","14XJ","Aquisição de Cargueiro Tático Militar de 10 a 20 Toneladas - Projeto KC390","Aeronave adquirida 1",321300000,2023
4,"MARINHA","2204","Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes","Assistência Médica e Odontológica",295460959,2023
4,"MARINHA","20TP","Ativos Civis da União","Ativos Nacional e Exterior",416407342,2023
4,"MARINHA","212B","Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes","Benefícios Nacional e Exterior",1008375872,2023
4,"MARINHA","214H","Inativos Militares das Forças Armadas","Inativos Militares",8635534810,2023
4,"MARINHA","216H","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","Agente público beneficiado 268",64050000,2023
4,"MARINHA","2865","Suprimento de Fardamento","Militar atendido 46228",68915959,2023
4,"MARINHA","2867","Ativos Militares das Forças Armadas","Ativos Militares Nacional e Exterior",8756000057,2023
4,"MARINHA","179","Pensões Militares das Forças Armadas","Pensões Militares das Forças Armadas",6045008565,2023
4,"MARINHA","181","Aposentadorias e Pensões Civis da União","Aposentadorias e Pensões Civis da União",1021533162,2023
4,"MARINHA","09HB","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","Contribuição",68114969,2023
4,"MARINHA","284","Amortização e Encargos de Financiamento da Dívida Contratual Externa","Amortização",1604583409,2023
4,"MARINHA","006S","Benefício Especial e Demais Complementações de Aposentadorias","Benefício Especial e Demais",13000,2023
4,"MARINHA","536","Benefícios e Pensões Indenizatórias Decorrentes de Legislação Especial e/ou Decisões Judiciais","Benefícios e Pensões",1109810,2023
4,"MARINHA","739","Indenização a Anistiados Políticos em Prestação Única ou em Prestação Mensal, Permanente e Continuada, nos termos da Lei nº 10.559, de 2002","Indenização",188500000,2023
4,"MARINHA","0C01","Valores Retroativos a Anistiados Políticos nos termos da Lei nº 11.354, de 19/10/2006","Valores Retroativos",1920876,2023
4,"MARINHA","00OQ","Contribuições a Organismos Internacionais sem Exigência de Programação Específica","Contribuições",104986,2023
4,"MARINHA","0Z00","Reserva de Contingência - Financeira","Reserva de Contingência",875261835,2023
4,"MARINHA","20T4","Atividades do Centro de Apoio a Sistemas Logísticos de Defesa","Sistema aprimorado 210",65000,2023
4,"MARINHA","20XO","Desenvolvimento Tecnológico da Marinha","Projeto de pesquisa e desenvolvimento apoiado 3",4819441,2023
4,"MARINHA","212O","Movimentação de Militares","Militar atendido 14032",274693200,2023
4,"MARINHA","219D","Adequação de Ativos de Infraestrutura das Organizações Militares","Organização militar adequada 4",15520180,2023
4,"MARINHA","21CL","Recomposição do Núcleo do Poder Naval","Capacidade operacional recuperada 24",289726159,2023
4,"MARINHA","21E9","Manutenção da capacidade operativa dos Submarinos S-BR “Classe Riachuelo” desenvolvidos no âmbito do Programa de Desenvolvimento de Submarinos (PROSUB)","Submarino mantido 1",9017578,2023
4,"MARINHA","21EA","Manutenção da capacidade operativa das Fragatas “Classe Tamandaré” desenvolvidas no âmbito do Programa Fragata Classe Tamandaré (PFCT)","Meio mantido 1",2e+06,2023
4,"MARINHA","2866","Ações de Caráter Sigiloso","Ações de Caráter Sigiloso",349954,2023
4,"MARINHA","123G","Implantação de Estaleiro e Base Naval para Construção e Manutenção de Submarinos Convencionais e Nucleares","Infraestrutura implantada % de execução física 2",3.15e+08,2023
4,"MARINHA","123H","Construção de Submarino de Propulsão Nuclear","Submarino construído % de execução física 3",248823209,2023
4,"MARINHA","123I","Construção de Submarinos Convencionais","Submarino construído % de execução física 4",690840000,2023
4,"MARINHA","14T7","Desenvolvimento de Sistemas de Tecnologia Nuclear da Marinha","Sistema construído % de execução 4",345161857,2023
4,"MARINHA","1N47","Construção de Navios-Patrulha de 500 toneladas (NPa 500t) - Classe Macaé","Navio construído 1",49686001,2023
4,"MARINHA","1N56","Desenvolvimento de Míssil Nacional Antinavio","Projeto desenvolvido % de execução física 8",53997651,2023
