"SKU FA","FA","SKU ACOES","NATUREZA ACAO","ACAO DE GOVERNO","ANO","DESPESAS PAGAS (CONTROLE EMPENHO)"
2,"EXERCITO","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2022,6185674.12
2,"EXERCITO","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2021,2987631.51
2,"EXERCITO","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2020,11369530.82
2,"EXERCITO","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2019,13052738.63
2,"EXERCITO","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2018,10029081.31
2,"EXERCITO","14LW","DEFESA ESTRATEGICA","IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS",2022,23945163.58
2,"EXERCITO","14LW","DEFESA ESTRATEGICA","IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS",2021,112715064.54
2,"EXERCITO","14LW","DEFESA ESTRATEGICA","IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS",2020,84877650.07
2,"EXERCITO","14LW","DEFESA ESTRATEGICA","IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS",2019,73789429.85
2,"EXERCITO","14LW","DEFESA ESTRATEGICA","IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS",2018,97989905.71
2,"EXERCITO","14T4","BLINDADOS","IMPLANTACAO DO PROJETO FORCAS BLINDADAS",2022,407984017.22
2,"EXERCITO","14T4","BLINDADOS","IMPLANTACAO DO PROJETO FORCAS BLINDADAS",2021,333027814.5
2,"EXERCITO","14T4","BLINDADOS","IMPLANTACAO DO PROJETO FORCAS BLINDADAS",2020,192190764.73
2,"EXERCITO","14T4","BLINDADOS","IMPLANTACAO DO PROJETO FORCAS BLINDADAS",2019,232725071.62
2,"EXERCITO","14T4","BLINDADOS","IMPLANTACAO DO PROJETO FORCAS BLINDADAS",2018,214619128.79
2,"EXERCITO","14T5","SISFRON","IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRA",2022,104602806.83
2,"EXERCITO","14T5","SISFRON","IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRA",2021,33145018.25
2,"EXERCITO","14T5","SISFRON","IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRA",2020,141024257.15
2,"EXERCITO","14T5","SISFRON","IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRA",2019,113693523.56
2,"EXERCITO","14T5","SISFRON","IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRA",2018,93766477.93
3,"AERONAUTICA","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2022,7312.3
3,"AERONAUTICA","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2021,31527093.57
3,"AERONAUTICA","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2020,85785818.89
3,"AERONAUTICA","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2019,8996124.56
3,"AERONAUTICA","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2018,218480.7
3,"AERONAUTICA","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2022,1353379258.65
3,"AERONAUTICA","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2021,1437953283.93
3,"AERONAUTICA","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2020,1086949817.94
3,"AERONAUTICA","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2019,1418237292.73
3,"AERONAUTICA","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2018,1025100656.6
3,"AERONAUTICA","14XJ","AQUISICAO CARGUEIRO","AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2022,421499171.56
3,"AERONAUTICA","14XJ","AQUISICAO CARGUEIRO","AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2021,350694005.11
3,"AERONAUTICA","14XJ","AQUISICAO CARGUEIRO","AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2020,571954133.68
3,"AERONAUTICA","14XJ","AQUISICAO CARGUEIRO","AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2019,798612368.31
3,"AERONAUTICA","14XJ","AQUISICAO CARGUEIRO","AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2018,665479300
4,"MARINHA","123G","ESTALEIRO E BASE","IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO",2022,319211663.92
4,"MARINHA","123G","ESTALEIRO E BASE","IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO",2021,257117476.93
4,"MARINHA","123G","ESTALEIRO E BASE","IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO",2020,409143557.94
4,"MARINHA","123G","ESTALEIRO E BASE","IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO",2019,344097271.62
4,"MARINHA","123G","ESTALEIRO E BASE","IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO",2018,430444845.67
4,"MARINHA","123H","SUBMARINO NUCLEAR","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",2022,389492605.72
4,"MARINHA","123H","SUBMARINO NUCLEAR","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",2021,471498612.78
4,"MARINHA","123H","SUBMARINO NUCLEAR","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",2020,301623514.45
4,"MARINHA","123H","SUBMARINO NUCLEAR","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",2019,378917445.19
4,"MARINHA","123H","SUBMARINO NUCLEAR","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",2018,333444427.02
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2022,573001559.47
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2021,545131559.79
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2020,670641647.23
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2019,386057205.23
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2018,842890427.64
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2022,266499556.06
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2021,122686021.09
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2020,77697309.88
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2019,68744246.93
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2018,132009172.88
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2022,18965000.03
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2021,6261793.04
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2020,15697298.94
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2018,126376.32
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2022,5675775.82
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2020,22005845.25
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2019,19296512.44
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2018,24845753.63
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2022,260860711.13
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2021,186357658.04
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2020,311988599.12
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2019,336870224.68
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2018,589227744.57
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2022,9307420.8
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2021,7649517.82
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2020,1302000.78
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2019,2731272.66
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2018,3964015.51
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2022,673997.48
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2021,357637.64
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2020,170047.3
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2019,920386.79
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2018,3260795.24
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2022,394377.51
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2021,312551.26
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2020,570049.95
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2019,463412.27
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2018,455582.31
1,"DEFESA","15W4","AQUISICAO HELICOPTEROS LEVES","AQUISICAO DE HELICOPTEROS LEVES (PROJETO TH-X)",2022,84007253.63
