"SKU","TIPO PROGRAMA","CODIGO","PROGRAMA","TIPO INVESTIMENTO","FA","NOME ACAO","DESCRICAO","CODIGO ACAO","NATUREZA ACAO","ACAO DE GOVERNO","DATA INICIO","DATA FIM","R$ PREVISTOS 2020-2023"
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","MARINHA","Desenvolvimento de Submarinos Convencionais e Nuclear","Implantação no País de uma infraestrutura para construção, manutenção e apoio à operação de submarinos convencionais e nucleares, por meio da construção de uma Unidade de Fabricação de Estrutura Metálica, de um Estaleiro de Construção, de um Estaleiro de Manutenção dotado de um Complexo de Manutenção Especializada, de uma Base Naval e demais instalações que proverão apoio logístico aos submarinos. Engloba, ainda, a construção, no Brasil, de submarino com propulsão nuclear e de quatro submarinos convencionais, envolvendo a transferência de tecnologia","123H","SUBMARINO NUCLEAR","CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR",2009-05-01,2009-05-01,2857853471
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","MARINHA","Desenvolvimento de Submarinos Convencionais e Nuclear","Implantação no País de uma infraestrutura para construção, manutenção e apoio à operação de submarinos convencionais e nucleares, por meio da construção de uma Unidade de Fabricação de Estrutura Metálica, de um Estaleiro de Construção, de um Estaleiro de Manutenção dotado de um Complexo de Manutenção Especializada, de uma Base Naval e demais instalações que proverão apoio logístico aos submarinos. Engloba, ainda, a construção, no Brasil, de submarino com propulsão nuclear e de quatro submarinos convencionais, envolvendo a transferência de tecnologia","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2009-05-01,2009-05-01,0
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","EXERCITO","Programa Estratégico ASTROS 2020","O Programa Estratégico do Exército (Prg EE) ASTROS 2020, por meio dos Projetos que o compõem, contribui para o aparelhamento da Força Terrestre e para gerar capacidades que irão auxiliar a dissuasão extrarregional. Essas capacidades dissuasórias e de apoio de fogo terrestre do Exército Brasileiro serão obtidas por intermédio de projetos de pesquisa e desenvolvimento (P&D), de aquisição e modernização de viaturas do Sistema ASTROS e de construções de instalações de Organizações Militares","14LW","DEFESA ESTRATEGICA","IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS",2011-01-03,2023-12-31,409146300
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","EXERCITO","Programa Estratégico do Exército Guarani","O Programa Estratégico do Exército Guarani tem por objetivo transformar a Infantaria motorizada em mecanizada e, ainda, modernizar a cavalaria mecanizada, retomando a capacidade da Base Industrial de Defesa Brasileira com a fabricação em território nacional da maioria dos meios. Proporciona avanços tecnológicos e de qualidade, por meio de transferência de tecnologia e qualificação técnica de mão de obra nacional, contribuindo para a geração de emprego e renda","14T4","BLINDADOS","IMPLANTACAO DO PROJETO FORCAS BLINDADAS",2012-01-01,2040-12-31,1268815976
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","MARINHA","Programa Nuclear da Marinha","Desenvolvimento de programas de capacitação que permitam realizar e manter pesquisas em tecnologia e a implementação de processos tecnológicos para a produção de elementos combustíveis de reatores nucleares, a construção de reatores nucleares de teste para a propulsão naval e geração de energia, bem como a construção, adequação, manutenção, operação, descomissionamento e apoio logístico necessários a esse desenvolvimento","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2000-01-01,2030-12-31,1042999998
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","AERONAUTICA","Projeto FX-2 - Aquisição de Aeronaves de Caça e Sistemas Afins","Aquisição de 36 aeronaves de caça multiemprego; armamentos; simuladores de voo; logística inicial; transferência de tecnologia; serviços de suporte logístico contratado; serviços de integração de sistemas e armamentos, a fim de manter a capacidade da Força Aérea Brasileira de realizar suas missões constitucionais de defesa do espaço aéreo nacional","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2014-10-24,2030-12-31,2422260716
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","AERONAUTICA","Projeto KC-390 - Aquisição de Cargueiros Táticos Militares","Aquisição de Cargueiro Tático Militar de 10 a 20 toneladas, a fim de suprir as necessidades estratégicas e operacionais da Força Aérea Brasileira, destacando-se as ações de transporte aéreo logístico em território nacional e/ou global (tropa e carga), reabastecimento em voo, evacuação aeromédica e combate a incêndio em voo, bem como a logística inicial associada à aeronave","14XJ","AQUISICAO CARGUEIRO","AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2014-12-01,2026-09-20,1659820500
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO NAO CONDICIONADO","AERONAUTICA","Projeto KC-X","Desenvolvimento de Cargueiro Tático de 10 a 20 toneladas, em sua versão de reabastecedor aéreo (Projeto KC-X), por meio de atividades de pesquisa e desenvolvimento, formação e capacitação de recursos humanos dedicados a produtos de alta tecnologia, definição de requisitos operacionais, execução de ensaio e atuação em conjunto com as indústrias brasileiras da área de Defesa, a fim de suprir necessidades estratégicas e operacionais da Força Aérea Brasileira (FAB).","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2009-09-14,2020-12-31,4e+08
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO CONDICIONADO (EC95/2017)","AERONAUTICA","Atualização da Infraestrutura de Apoio a Veículos Espaciais no Centro de Lançamento de Alcântara (CLA)","Atualização da Infraestrutura de Apoio a Veículos Espaciais no Centro de Lançamento de Alcântara (CLA)","7F40","N/A","Implantação do Centro Espacial de Alcântara - CEA",2020-03-02,2023-12-31,119950002
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO CONDICIONADO (EC95/2017)","AERONAUTICA","Desenvolvimento e Aquisição de Foguetes de Treinamento Básico e Intermediário (FOGTREIN)","Desenvolvimento e Aquisição de Foguetes de Treinamento Básico e Intermediário (FOGTREIN)","N/A","N/A","N/A",2020-03-02,2023-12-31,39927925
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO CONDICIONADO (EC95/2017)","AERONAUTICA","Projeto FX-2 - Aquisição de Aeronaves de Caça e Sistemas Afins - CONDICIONADO","Aquisição de 36 aeronaves de caça multiemprego; armamentos; simuladores de voo; logística inicial; transferência de tecnologia; serviços de suporte logístico contratado; serviços de integração de sistemas e armamentos, a fim de manter a capacidade da Força Aérea Brasileira de realizar suas missões constitucionais de defesa do espaço aéreo nacional
","14T0","AQUISICAO CACA","AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX",2014-10-24,2026-12-31,7638185905
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO CONDICIONADO (EC95/2017)","AERONAUTICA","Projeto H-X BR - Aquisição de Helicópteros de Médio Porte de Emprego Geral","Aquisição de Helicópteros de Médio Porte de Emprego Geral - Projeto H-X BR","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2020-01-01,2023-12-31,4.5e+08
"PPA 2020-2023","FINALISTICO",6012,"Defesa Nacional","PRIORITARIO CONDICIONADO (EC95/2017)","AERONAUTICA","Projeto KC-390 - Aquisição de Cargueiros Táticos Militares - CONDICIONADO","Aquisição de Cargueiro Tático Militar de 10 a 20 toneladas, a fim de suprir as necessidades estratégicas e operacionais da Força Aérea Brasileira, destacando-se as ações de transporte aéreo logístico em território nacional e/ou global (tropa e carga), reabastecimento em voo, evacuação aeromédica e combate a incêndio em voo, bem como a logística inicial associada à aeronave","123B","DESENVOLVIMENTO CARGUEIRO","DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS",2009-09-14,2020-12-31,3470786029
