"SKU REF.","FA","SKU","ORGAO ORCAMENTARIO","TITULO","FONTE","EXERCICIO FINANCEIRO","VALOR"
"LOA","MARINHA",52932,"Fundo de Desenvolvimento do Ensino Profissional Maritimo","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2020. LDO-2020, Anexo I, Inciso III - Quadro 3",2020,232781058
"LOA","MARINHA",52233,"Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2020. LDO-2020, Anexo I, Inciso III - Quadro 3",2020,0
"LOA","DEFESA",52000,"Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,12774483153
"LOA","DEFESA",52101,"Ministerio da Defesa - Administracao Direta","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,2499604522
"LOA","AERONAUTICA",52111,"Comando da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,1157511151
"LOA","EXERCITO",52121,"Comando do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,61376567
"LOA","MARINHA",52131,"Comando da Marinha","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,2179989531
"LOA","AERONAUTICA",52211,"Caixa de Financiamento Imobiliario da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,7709236
"LOA","EXERCITO",52221,"Industria de Material Belico do Brasil IMBEL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,83868446
"LOA","EXERCITO",52222,"Fundacao Osorio","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,136793
"LOA","MARINHA",52232,"Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,39240000
"LOA","DEFESA",52901,"Fundo do Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,3196443
"LOA","DEFESA",52902,"Fundo de Administracao do Hospital das Forcas Armadas","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,13815390
"LOA","DEFESA",52903,"Fundo do Servico Militar","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,9199182
"LOA","AERONAUTICA",52911,"Fundo Aeronautico","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,3790389369
"LOA","EXERCITO",52921,"Fundo do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,1861156358
"LOA","MARINHA",52931,"Fundo Naval","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,826021682
"LOA","MARINHA",52932,"Fundo de Desenvolvimento do Ensino Profissional Maritimo","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,241268483
"LOA","MARINHA",52233,"Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2019. LDO-2019, Anexo I, Inciso III - Quadro 3",2019,0
"LOA","DEFESA",52000,"Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,11537954042
"LOA","DEFESA",52101,"Ministerio da Defesa - Administracao Direta","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,2370410670
"LOA","AERONAUTICA",52111,"Comando da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,1050133500
"LOA","EXERCITO",52121,"Comando do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,106762476
"LOA","MARINHA",52131,"Comando da Marinha","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,1809845406
"LOA","AERONAUTICA",52211,"Caixa de Financiamento Imobiliario da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,10482139
"LOA","EXERCITO",52221,"Industria de Material Belico do Brasil IMBEL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,93262739
"LOA","EXERCITO",52222,"Fundacao Osorio","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,878746
"LOA","MARINHA",52232,"Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,37373624
"LOA","MARINHA",52233,"Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,532319
"LOA","DEFESA",52901,"Fundo do Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,3023885
"LOA","DEFESA",52902,"Fundo de Administracao do Hospital das Forcas Armadas","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,8316665
"LOA","DEFESA",52903,"Fundo do Servico Militar","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,10691146
"LOA","AERONAUTICA",52911,"Fundo Aeronautico","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,3423265515
"LOA","EXERCITO",52921,"Fundo do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,1606677671
"LOA","MARINHA",52931,"Fundo Naval","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,759027026
"LOA","MARINHA",52932,"Fundo de Desenvolvimento do Ensino Profissional Maritimo","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2018. LDO-2018, Anexo I, Inciso III - Quadro 3",2018,247270515
"LOA","DEFESA",52000,"Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,11028506711
"LOA","DEFESA",52101,"Ministerio da Defesa - Administracao Direta","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,2497763650
"LOA","AERONAUTICA",52111,"Comando da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,1567013470
"LOA","EXERCITO",52121,"Comando do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,104906044
"LOA","MARINHA",52131,"Comando da Marinha","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,977842277
"LOA","AERONAUTICA",52211,"Caixa de Financiamento Imobiliario da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,11357327
"LOA","EXERCITO",52221,"Industria de Material Belico do Brasil IMBEL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,70792956
"LOA","EXERCITO",52222,"Fundacao Osorio","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,1013683
"LOA","MARINHA",52232,"Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,24174000
"LOA","MARINHA",52233,"Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,5480000
"LOA","DEFESA",52901,"Fundo do Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,3872024
"LOA","DEFESA",52902,"Fundo de Administracao do Hospital das Forcas Armadas","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,35222366
"LOA","DEFESA",52903,"Fundo do Servico Militar","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,11596620
"LOA","AERONAUTICA",52911,"Fundo Aeronautico","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,3224698847
"LOA","EXERCITO",52921,"Fundo do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,1372179899
"LOA","MARINHA",52931,"Fundo Naval","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,871649465
"LOA","MARINHA",52932,"Fundo de Desenvolvimento do Ensino Profissional Maritimo","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2017. LDO-2017, Anexo I, Inciso III - Quadro 3",2017,248944083
"LOA","DEFESA",52000,"Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,9542062109
"LOA","DEFESA",52101,"Ministerio da Defesa - Administracao Direta","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,2316105212
"LOA","AERONAUTICA",52111,"Comando da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,1.533e+09
"LOA","EXERCITO",52121,"Comando do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,142789191
"LOA","MARINHA",52131,"Comando da Marinha","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,663031253
"LOA","AERONAUTICA",52211,"Caixa de Financiamento Imobiliario da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,7770428
"LOA","EXERCITO",52221,"Industria de Material Belico do Brasil IMBEL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,74249150
"LOA","EXERCITO",52222,"Fundacao Osorio","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,907476
"LOA","MARINHA",52232,"Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,21990975
"LOA","MARINHA",52233,"Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,11906690
"LOA","DEFESA",52901,"Fundo do Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,3600132
"LOA","DEFESA",52902,"Fundo de Administracao do Hospital das Forcas Armadas","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,24967114
"LOA","DEFESA",52903,"Fundo do Servico Militar","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,7132056
"LOA","AERONAUTICA",52911,"Fundo Aeronautico","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,2568966238
"LOA","EXERCITO",52921,"Fundo do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,1207720536
"LOA","MARINHA",52931,"Fundo Naval","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,731487183
"LOA","MARINHA",52932,"Fundo de Desenvolvimento do Ensino Profissional Maritimo","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2016. LDO-2016, Anexo I, Inciso III - Quadro 3",2016,226438475
