Codigo,EXERCICIO FINANCEIRO,1-Pessoal e Encargos Sociais,2-Juros e Encargos da Divida,3-Outras Despesas Correntes,4-Investimentos,5-Inversoes Financeiras,6-Amortizacao da Divida,7-Reserva de Regime Proprio da Previdencia Social RPPS,8-N/A,9-Reserva de Contingencia,Despesa,Despesa 2-9
52101,2023,178366694,0,1116216767,1529795730,0,0,0,0,0,2824379191,5470391688
52111,2023,21541524168,783658286,1169361566,1947271833,0,663194004,0,0,0,26105009857,30668495546
52121,2023,47100748292,0,3873631933,1840375304,0,0,0,0,40060000,52854815529,58608882766
52131,2023,25133032781,368019077,1754587645,2014224441,0,1236564332,0,0,875261835,31381690111,37630347441
52211,2023,1564551,0,2165608,170000,0,0,0,0,9293011,13193170,24821789
52221,2023,149699623,0,90985674,37101715,0,0,0,0,0,277787012,405874401
52222,2023,18632487,0,7466902,400849,0,0,0,0,0,26500238,34367989
52231,2023,0,0,0,0,0,0,0,0,0,0,0
52232,2023,2488512,4081932,3570500,0,15000000,39499027,0,0,22355669,86995640,171502768
52901,2023,0,0,2205389,120000,0,0,0,0,2910029,5235418,10470836
52902,2023,158401779,0,86504134,17835722,0,0,0,0,0,262741635,367081491
52903,2023,0,0,6365000,1635000,0,0,0,0,13860973,21860973,43721946
52911,2023,0,0,3306941149,666394690,4011829,0,0,0,0,3977347668,7954695336
52921,2023,0,0,2130577827,324619095,0,0,0,0,47113678,2502310600,5004621200
52931,2023,0,0,1375371352,226869007,0,0,0,0,70075740,1672316099,3344632198
52932,2023,0,0,62000000,4067131,0,0,0,0,134951768,201018899,402037798
52133,2023,0,0,6094514,51083203,0,0,0,0,0,57177717,114355434
52233,2023,320864594,0,30763728,239524,0,0,0,0,0,351867846,382871098
52101,2022,166223143,0,671667538,995507406,0,0,0,0,0,1833398087,3500573031
52111,2022,20135278865,682316692,1308287062,2107876799,350000,762348253,0,0,0,24996457671,29857636477
52121,2022,45753410122,0,3783394556,1749969200,0,0,0,0,2876393,51289650271,56825890420
52131,2022,24017986469,380168025,1679593006,2133290259,0,1348705469,0,0,0,29559743228,35101499987
52211,2022,1377622,0,2137541,150000,0,0,0,0,0,3665163,5952704
52221,2022,101484653,0,82852619,21138161,0,0,0,0,1913250,207388683,313292713
52222,2022,21375346,0,6533202,300000,0,0,0,0,0,28208548,35041750
52231,2022,0,0,0,0,0,0,0,0,0,0,0
52232,2022,2512606,2380000,4573290,0,25000000,15600000,0,0,4761370,54827266,107141926
52901,2022,0,0,2531492,120000,0,0,0,0,0,2651492,5302984
52902,2022,167064566,0,85319419,17484000,0,0,0,0,1343694,271211679,375358792
52903,2022,0,0,6255355,1509500,0,0,0,0,7155570,14920425,29840850
52911,2022,0,0,2510185409,1420895226,4277000,0,0,0,9549362,3944906997,7889813994
52921,2022,0,0,1978018222,164449835,0,0,0,0,73831321,2216299378,4432598756
52931,2022,0,0,1298803122,102243953,0,0,0,0,40399252,1441446327,2882892654
52932,2022,0,0,54629491,4791286,0,0,0,0,170272317,229693094,459386188
52133,2022,0,0,6907241,74547267,0,0,0,0,0,81454508,162909016
52233,2022,279666911,0,37681586,500699,0,0,0,0,0,317849196,356031481
52101,2021,325834013,0,279109823,1287818447,0,0,0,0,0,1892762283,3459690553
52111,2021,9484244122,510128541,717097668,2360776853,25000000,776274715,0,0,1000000,13874521899,18264799676
52121,2021,22275711804,0,1675942444,1613638956,0,0,0,0,9010904,25574304108,28872896412
52131,2021,10907904013,443479991,872880579,2322639105,0,1762359509,0,0,0,16309263197,21710622381
52133,2021,0,0,1952495,38203126,0,0,0,0,0,40155621,80311242
52211,2021,466457,0,2394771,150000,0,0,0,0,6312887,9324115,18181773
52221,2021,26491285,0,67466038,29430000,0,0,0,0,0,123387323,220283361
52222,2021,8937600,0,3085473,146170,0,0,0,0,0,12169243,15400886
52232,2021,1803190,3164460,9265554,0,61050000,15703800,0,0,3295740,94282744,186762298
52233,2021,80285998,0,23113681,0,0,0,0,0,0,103399679,126513360
52901,2021,0,0,2112774,50000,0,0,0,0,174505,2337279,4674558
52902,2021,165923244,0,55422327,19146000,0,0,0,0,2594,240494165,315065086
52903,2021,0,0,6255355,1509500,0,0,0,0,4873022,12637877,25275754
52911,2021,0,0,2076525692,920485180,5104198,0,0,0,707932405,3710047475,7420094950
52921,2021,0,0,2075288485,113738213,0,0,0,0,274282174,2463308872,4926617744
52931,2021,0,0,904870734,107500399,0,0,0,0,181258759,1193629892,2387259784
52932,2021,0,0,58644351,4106649,0,0,0,0,129551125,192302125,384604250
52101,2020,4840260691,0,396399431,802006120,0,0,0,0,0,6038666242,7237071793
52111,2020,9870076173,513599552,1044646021,1949216757,25101000,657698268,0,0,557405136,14617742907,19365409641
52121,2020,20124917251,0,2670892753,1430226104,0,0,0,0,1679531566,25905567674,31686218097
52131,2020,11536682985,310922068,1351925688,1899664950,0,1145411393,0,0,717004466,16961611550,22386540115
52211,2020,1407100,0,2271691,308599,0,0,0,0,2716157,6703547,11999994
52221,2020,94837361,0,77180067,12717065,0,0,0,0,215297,184949790,275062219
52222,2020,14825458,0,4427934,204742,0,0,0,0,0,19458134,24090810
52231,2020,0,0,0,0,0,0,0,0,0,0,0
52232,2020,2390505,3708600,8652163,50000,42000000,15716000,0,0,585269,73102537,143814569
52901,2020,0,0,2814302,50000,0,0,0,0,0,2864302,5728604
52902,2020,161520228,0,65554396,20874727,0,0,0,0,115199,248064550,334608872
52903,2020,0,0,7459600,1800000,0,0,0,0,7357240,16616840,33233680
52911,2020,0,0,2661665327,457741224,4540000,0,0,0,1422935438,4546881989,9093763978
52921,2020,0,0,2172820693,111590734,0,0,0,0,338278805,2622690232,5245380464
52931,2020,0,0,915473748,74872821,0,0,0,0,227254989,1217601558,2435203116
52932,2020,0,0,68224039,2315000,0,0,0,0,183389058,253928097,507856194
52133,2020,0,0,6430264,16217726,0,0,0,0,0,22647990,45295980
52233,2020,305444694,0,22686438,1879686,0,0,0,0,0,330010818,354576942
52101,2019,4359108717,0,485840210,663343519,945000,0,0,0,0,5509237446,6659366175
52111,2019,17549126520,362697208,2073925725,1716084259,95000,593752400,0,0,0,22295681112,27042235704
52121,2019,38157097166,0,3074427905,1434275649,0,0,0,0,4504518,42670305238,47183513310
52131,2019,20433736598,286266035,1649881648,1746660198,2900000000,1102730384,0,0,0,28119274863,35804813128
52211,2019,1478920,0,2833512,250000,0,0,0,0,4709236,9271668,17064416
52221,2019,123229435,0,108051221,13115518,0,0,0,0,0,244396174,365562913
52222,2019,16426520,0,6587442,1400000,0,0,0,0,0,24413962,32401404
52231,2019,0,0,0,0,0,0,0,0,0,0,0
52232,2019,2506902,4013204,9727867,85000,9000000,15753572,0,0,1025224,42111769,81716636
52901,2019,0,0,3146443,50000,0,0,0,0,0,3196443,6392886
52902,2019,172750186,0,95995192,6500000,0,0,0,0,0,275245378,377740570
52903,2019,0,0,7045205,2153977,0,0,0,0,0,9199182,18398364
52911,2019,0,0,2144535941,750715116,5230000,0,0,0,960114966,3860596023,7721192046
52921,2019,0,0,2484647566,123011691,0,0,0,0,144822321,2752481578,5504963156
52931,2019,0,0,1005088521,105802777,0,0,0,0,149805865,1260697163,2521394326
52932,2019,0,0,62891800,1258200,0,0,0,0,177118483,241268483,482536966
52133,2019,0,0,14941000,26305000,0,0,0,0,0,41246000,82492000
52233,2019,322166808,0,35522504,475000,0,0,0,0,0,358164312,394161816
52101,2018,90400026,0,626191526,791463828,10500000,0,0,0,0,1518555380,2946710734
52111,2018,17142240368,303544398,1905418818,1811552215,1000000,661207523,0,0,0,21824963322,26507686276
52121,2018,37409582163,0,3996323941,1518355118,0,0,0,0,0,42924261222,48438940281
52131,2018,19521485734,214325263,1841617174,2307636620,2500000000,888441583,0,0,0,27273506374,35025527014
52211,2018,1547598,0,3837972,250000,0,50000,0,0,6482139,12167709,22787820
52221,2018,93054741,0,114425989,5487305,0,0,0,0,17650606,230618641,368182541
52222,2018,14275601,0,6640513,500000,0,0,0,0,0,21416114,28556627
52231,2018,0,0,0,0,0,0,0,0,0,0,0
52232,2018,2664153,4568266,9369063,47733,1000000,15890826,0,0,7094832,40634873,78605593
52901,2018,0,0,2937407,83000,0,0,0,0,3478,3023885,6047770
52902,2018,184546122,0,67655651,7655896,0,0,0,0,0,259857669,335169216
52903,2018,0,0,6763700,836300,0,0,0,0,3091146,10691146,21382292
52911,2018,0,0,1851366319,725740389,5035700,0,0,0,841123107,3423265515,6846531030
52921,2018,0,0,1475566360,130647913,0,0,0,0,463398,1606677671,3213355342
52931,2018,0,0,448077856,155324393,0,0,0,0,160003183,763405432,1526810864
52932,2018,0,0,58790000,1210000,0,0,0,0,187270515,247270515,494541030
52133,2018,0,0,14610410,183860724,0,0,0,0,0,198471134,396942268
52233,2018,274662731,0,31186943,360000,0,0,0,0,0,306209674,337756617
52101,2017,96538590,0,548138173,1023671729,60000000,0,0,0,0,1728348492,3360158394
52111,2017,16238523733,228123000,1317898696,2916225900,1000000,380800000,0,0,0,21082571329,25926618925
52121,2017,34712749959,0,4268010715,1827564710,0,0,0,0,0,40808325384,46903900809
52131,2017,18376971841,220763611,2169484747,2739687535,0,977865857,0,0,0,24484773591,30592575341
52211,2017,1581464,0,3556930,1464884,5000000,50000,0,0,912398,12565676,23549888
52221,2017,95927593,0,122081024,18600000,0,0,0,0,0,236608617,377289641
52222,2017,12851256,0,7712990,533000,0,0,0,0,0,21097246,29343236
52231,2017,0,0,0,0,0,0,0,0,0,0,0
52232,2017,2755753,4561000,9951754,0,2534630,7300000,0,0,0,27103137,51450521
52901,2017,0,0,3802833,69191,0,0,0,0,0,3872024,7744048
52902,2017,183134898,0,79493525,3834188,0,0,0,0,0,266462611,349790324
52903,2017,0,0,6782687,838660,0,0,0,0,3975273,11596620,23193240
52911,2017,0,0,2128274035,1075159458,5440034,0,0,0,19770428,3228643955,6457287910
52921,2017,0,0,1193174515,127935109,0,0,0,0,51070275,1372179899,2744359798
52931,2017,0,0,719623491,47350955,0,0,0,0,106065019,873039465,1746078930
52932,2017,0,0,86710000,1220000,0,0,0,0,161014083,248944083,497888166
52133,2017,0,0,11719588,131440046,0,0,0,0,0,143159634,286319268
52233,2017,252677666,0,34710357,324000,0,0,0,0,0,287712023,322746380
52101,2016,85604063,0,569335125,1105953889,117845655,0,0,0,0,1878738732,3671873401
52111,2016,14392918480,196841442,1279981048,2527251305,962038,502458627,0,0,0,18900412940,23407907400
52121,2016,30353506822,0,3403889771,1162596057,0,0,0,0,0,34919992650,39486478478
52131,2016,15880640924,315608990,1539028642,1614337526,0,1281114524,0,0,0,20630730606,25380820288
52211,2016,1359288,0,2289264,250000,4758705,50000,0,0,634959,9342216,17325144
52221,2016,80650057,0,118596569,10158339,0,0,0,0,29513723,238918688,397187319
52222,2016,12060713,0,6861308,125065,0,0,0,0,0,19047086,26033459
52231,2016,0,0,0,0,0,0,0,0,0,0,0
52232,2016,2491824,2215000,10281163,98000,8000000,8000000,0,0,3736504,34822491,67153158
52901,2016,0,0,3550132,50000,0,0,0,0,0,3600132,7200264
52902,2016,175177410,0,65821441,11832697,0,0,0,0,0,252831548,330485686
52903,2016,0,0,5681784,1450272,0,0,0,0,0,7132056,14264112
52911,2016,0,0,1498164537,1059144761,4850000,0,0,0,6806940,2568966238,5137932476
52921,2016,0,0,1052052085,51910673,0,0,0,0,106359246,1210322004,2420644008
52931,2016,0,0,623715447,56055226,0,0,0,0,52293095,732063768,1464127536
52932,2016,0,0,74552083,6861593,0,0,0,0,138369441,219783117,439566234
52133,2016,0,0,13175367,143562036,0,0,0,0,0,156737403,313474806
52233,2016,238108674,0,33353857,3465000,0,0,0,0,0,274927531,311746388
